player,tournament,date,season,n_rounds,sg_putt,sg_total
Shane Lowry,Arnold Palmer Invitational Pres. by Mastercard,2021-03-07,2021,2,-2.63,-1.58
Sebastian Munoz,Arnold Palmer Invitational Pres. by Mastercard,2021-03-07,2021,4,-0.66,0.05
Sepp Straka,Arnold Palmer Invitational Pres. by Mastercard,2021-03-07,2021,2,-0.72,-2.58
Steve Stricker,Arnold Palmer Invitational Pres. by Mastercard,2021-03-07,2021,4,0.66,-0.45
Tyler Duncan,Arnold Palmer Invitational Pres. by Mastercard,2021-03-07,2021,4,-1.4,-0.2
Tommy Fleetwood,Arnold Palmer Invitational Pres. by Mastercard,2021-03-07,2021,4,0.45,1.8
Talor Gooch,Arnold Palmer Invitational Pres. by Mastercard,2021-03-07,2021,4,0.49,0.3
Tyrrell Hatton,Arnold Palmer Invitational Pres. by Mastercard,2021-03-07,2021,4,-1.22,1.3
Tim Herron,Arnold Palmer Invitational Pres. by Mastercard,2021-03-07,2021,2,-1.12,-3.08
Tom Hoge,Arnold Palmer Invitational Pres. by Mastercard,2021-03-07,2021,2,-2.22,-0.58
Tyler McCumber,Arnold Palmer Invitational Pres. by Mastercard,2021-03-07,2021,2,-2.74,-4.08
Viktor Hovland,Arnold Palmer Invitational Pres. by Mastercard,2021-03-07,2021,4,-0.01,0.05
Victor Perez,Arnold Palmer Invitational Pres. by Mastercard,2021-03-07,2021,4,1.02,-0.95
Wyndham Clark,Arnold Palmer Invitational Pres. by Mastercard,2021-03-07,2021,2,0.05,-2.08
Will Gordon,Arnold Palmer Invitational Pres. by Mastercard,2021-03-07,2021,4,0.96,0.05
Will Zalatoris,Arnold Palmer Invitational Pres. by Mastercard,2021-03-07,2021,4,-0.36,1.8
Zach Johnson,Arnold Palmer Invitational Pres. by Mastercard,2021-03-07,2021,4,1.52,0.05
Abraham Ancer,WGC-Workday Championship,2021-02-28,2021,4,-0.39,1.37
Aaron Rai,WGC-Workday Championship,2021-02-28,2021,4,0.69,1.37
Adam Scott,WGC-Workday Championship,2021-02-28,2021,4,0.7,-1.63
Andy Sullivan,WGC-Workday Championship,2021-02-28,2021,4,-0.3,-3.63
Bryson DeChambeau,WGC-Workday Championship,2021-02-28,2021,4,0.9,1.12
Billy Horschel,WGC-Workday Championship,2021-02-28,2021,4,1.39,3.37
Brad Kennedy,WGC-Workday Championship,2021-02-28,2021,4,-0.63,-2.38
Brooks Koepka,WGC-Workday Championship,2021-02-28,2021,4,1.55,3.37
Brandon Stone,WGC-Workday Championship,2021-02-28,2021,4,0.67,-0.88
Brendon Todd,WGC-Workday Championship,2021-02-28,2021,4,1.13,1.37
Bubba Watson,WGC-Workday Championship,2021-02-28,2021,4,-0.88,-1.63
Bernd Wiesberger,WGC-Workday Championship,2021-02-28,2021,4,-0.03,-2.13
Christiaan Bezuidenhout,WGC-Workday Championship,2021-02-28,2021,4,0.44,0.62
Cameron Champ,WGC-Workday Championship,2021-02-28,2021,4,-0.89,-1.13
Chan Kim,WGC-Workday Championship,2021-02-28,2021,4,0.27,0.37
Collin Morikawa,WGC-Workday Championship,2021-02-28,2021,4,0.99,4.12
Carlos Ortiz,WGC-Workday Championship,2021-02-28,2021,4,0.46,1.62
Cameron Smith,WGC-Workday Championship,2021-02-28,2021,4,1.72,2.12
Daniel Berger,WGC-Workday Championship,2021-02-28,2021,4,0.61,0.37
Dustin Johnson,WGC-Workday Championship,2021-02-28,2021,4,-2.5,-1.63
David Lipsky,WGC-Workday Championship,2021-02-28,2021,4,-0.09,-1.13
Erik van Rooyen,WGC-Workday Championship,2021-02-28,2021,4,-0.02,0.12
Gary Woodland,WGC-Workday Championship,2021-02-28,2021,4,0.67,-0.63
Harris English,WGC-Workday Championship,2021-02-28,2021,4,-0.34,-2.88
Hideki Matsuyama,WGC-Workday Championship,2021-02-28,2021,4,-0.08,1.62
Jason Day,WGC-Workday Championship,2021-02-28,2021,4,0.61,1.37
Jason Kokrak,WGC-Workday Championship,2021-02-28,2021,4,1.05,2.37
Joaquin Niemann,WGC-Workday Championship,2021-02-28,2021,4,-0.27,0.87
Jon Rahm,WGC-Workday Championship,2021-02-28,2021,4,-0.63,0.62
JC Ritchie,WGC-Workday Championship,2021-02-28,2021,4,-1.56,-3.63
Justin Rose,WGC-Workday Championship,2021-02-28,2021,4,-0.47,-1.63
Jason Scrivener,WGC-Workday Championship,2021-02-28,2021,4,0.05,-0.38
Justin Thomas,WGC-Workday Championship,2021-02-28,2021,4,0.16,1.62
Kevin Kisner,WGC-Workday Championship,2021-02-28,2021,4,0.31,-0.38
Kevin Na,WGC-Workday Championship,2021-02-28,2021,4,0.76,2.12
Lanto Griffin,WGC-Workday Championship,2021-02-28,2021,4,-0.33,1.12
Lucas Herbert,WGC-Workday Championship,2021-02-28,2021,4,0.47,-3.88
Louis Oosthuizen,WGC-Workday Championship,2021-02-28,2021,4,1.12,2.62
Lee Westwood,WGC-Workday Championship,2021-02-28,2021,4,-0.07,-2.38
Matthew Fitzpatrick,WGC-Workday Championship,2021-02-28,2021,4,0.83,2.12
Max Homa,WGC-Workday Championship,2021-02-28,2021,4,0.12,1.12
Mackenzie Hughes,WGC-Workday Championship,2021-02-28,2021,4,1.23,-0.88
Matt Kuchar,WGC-Workday Championship,2021-02-28,2021,4,-1,-0.88
Min Woo Lee,WGC-Workday Championship,2021-02-28,2021,4,0.46,0.87
Marc Leishman,WGC-Workday Championship,2021-02-28,2021,4,1.23,-0.13
Matthew Wolff,WGC-Workday Championship,2021-02-28,2021,1,-2.09,-11.01
Patrick Reed,WGC-Workday Championship,2021-02-28,2021,4,0.96,2.37
Rafa Cabrera Bello,WGC-Workday Championship,2021-02-28,2021,4,0.2,-2.13
Rasmus Hojgaard,WGC-Workday Championship,2021-02-28,2021,4,-2,-3.38
Robert MacIntyre,WGC-Workday Championship,2021-02-28,2021,4,-1.15,-2.38
Rory McIlroy,WGC-Workday Championship,2021-02-28,2021,4,0.63,2.62
Ryan Palmer,WGC-Workday Championship,2021-02-28,2021,4,-1.49,-1.63
Sergio Garcia,WGC-Workday Championship,2021-02-28,2021,4,-1.64,0.62
Sungjae Im,WGC-Workday Championship,2021-02-28,2021,4,0.8,0.87
Shane Lowry,WGC-Workday Championship,2021-02-28,2021,4,-0.97,-1.13
Sebastian Munoz,WGC-Workday Championship,2021-02-28,2021,4,-0.08,1.12
Scottie Scheffler,WGC-Workday Championship,2021-02-28,2021,4,0.83,3.12
Sami Valimaki,WGC-Workday Championship,2021-02-28,2021,4,0.69,-2.63
Thomas Detry,WGC-Workday Championship,2021-02-28,2021,4,0.77,0.87
Tony Finau,WGC-Workday Championship,2021-02-28,2021,4,0.44,1.87
Tommy Fleetwood,WGC-Workday Championship,2021-02-28,2021,4,-1.58,-0.88
Tyrrell Hatton,WGC-Workday Championship,2021-02-28,2021,4,1.13,1.12
Viktor Hovland,WGC-Workday Championship,2021-02-28,2021,4,0.52,3.37
Victor Perez,WGC-Workday Championship,2021-02-28,2021,4,0.17,-1.38
Wade Ormsby,WGC-Workday Championship,2021-02-28,2021,4,0.32,-1.38
Webb Simpson,WGC-Workday Championship,2021-02-28,2021,4,0.03,2.62
Will Zalatoris,WGC-Workday Championship,2021-02-28,2021,4,-1.2,1.12
Xander Schauffele,WGC-Workday Championship,2021-02-28,2021,4,-0.15,-0.13
Yuki Inamori,WGC-Workday Championship,2021-02-28,2021,4,-2.2,-1.13
Abraham Ancer,The Genesis Invitational,2021-02-21,2021,2,-0.48,-0.94
Austin Cook,The Genesis Invitational,2021-02-21,2021,2,0.91,-0.44
Angus Flanagan,The Genesis Invitational,2021-02-21,2021,2,-1.51,-5.44
Adam Hadwin,The Genesis Invitational,2021-02-21,2021,4,0.37,0.85
Andrew Landry,The Genesis Invitational,2021-02-21,2021,4,0.4,0.85
Adam Long,The Genesis Invitational,2021-02-21,2021,2,-2.18,-1.44
Alexander Noren,The Genesis Invitational,2021-02-21,2021,4,0.41,1.6
Andrew Putnam,The Genesis Invitational,2021-02-21,2021,4,1.07,0.6
Adam Scott,The Genesis Invitational,2021-02-21,2021,4,1.03,0.35
Bryson DeChambeau,The Genesis Invitational,2021-02-21,2021,2,-1.12,-0.94
Brian Gay,The Genesis Invitational,2021-02-21,2021,4,0.25,-0.65
Branden Grace,The Genesis Invitational,2021-02-21,2021,4,-0.17,1.1
Brian Harman,The Genesis Invitational,2021-02-21,2021,4,-0.02,0.1
Bo Hoag,The Genesis Invitational,2021-02-21,2021,4,0.48,0.6
Brooks Koepka,The Genesis Invitational,2021-02-21,2021,4,-0.08,0.35
Brandt Snedeker,The Genesis Invitational,2021-02-21,2021,2,-1.86,-0.94
Brendan Steele,The Genesis Invitational,2021-02-21,2021,4,-0.14,0.1
Brian Stuard,The Genesis Invitational,2021-02-21,2021,2,0.48,-0.94
Brendon Todd,The Genesis Invitational,2021-02-21,2021,2,-0.79,-0.94
Bubba Watson,The Genesis Invitational,2021-02-21,2021,2,-1.48,-1.94
Corey Conners,The Genesis Invitational,2021-02-21,2021,2,-1.53,-0.44
Cameron Davis,The Genesis Invitational,2021-02-21,2021,4,-0.25,0.1
Charley Hoffman,The Genesis Invitational,2021-02-21,2021,4,-0.58,-0.15
Charles Howell III,The Genesis Invitational,2021-02-21,2021,2,-1.34,-4.44
Collin Morikawa,The Genesis Invitational,2021-02-21,2021,4,-1.89,0.1
Carlos Ortiz,The Genesis Invitational,2021-02-21,2021,2,-1.61,-0.94
C.T. Pan,The Genesis Invitational,2021-02-21,2021,4,0.84,1.1
Chez Reavie,The Genesis Invitational,2021-02-21,2021,2,-1.22,-0.44
Charl Schwartzel,The Genesis Invitational,2021-02-21,2021,4,-0.24,-0.9
Cameron Smith,The Genesis Invitational,2021-02-21,2021,4,0.02,2.6
Cameron Tringale,The Genesis Invitational,2021-02-21,2021,4,-0.79,0.85
Camilo Villegas,The Genesis Invitational,2021-02-21,2021,2,0.28,-1.44
Dylan Frittelli,The Genesis Invitational,2021-02-21,2021,2,0.71,-1.44
Doug Ghim,The Genesis Invitational,2021-02-21,2021,2,1.05,-0.44
Dustin Johnson,The Genesis Invitational,2021-02-21,2021,4,-0.02,1.85
Danny Lee,The Genesis Invitational,2021-02-21,2021,4,0.04,-0.15
Denny McCarthy,The Genesis Invitational,2021-02-21,2021,2,-0.49,-0.94
Doc Redman,The Genesis Invitational,2021-02-21,2021,2,-0.37,-0.94
Emiliano Grillo,The Genesis Invitational,2021-02-21,2021,2,-0.68,-1.44
Francesco Molinari,The Genesis Invitational,2021-02-21,2021,4,0.78,1.85
Gary Woodland,The Genesis Invitational,2021-02-21,2021,2,-3.93,-1.94
Harry Higgs,The Genesis Invitational,2021-02-21,2021,2,1.19,-2.44
Hideki Matsuyama,The Genesis Invitational,2021-02-21,2021,2,1.35,-0.94
Henrik Norlander,The Genesis Invitational,2021-02-21,2021,2,-0.99,-0.44
Harold Varner III,The Genesis Invitational,2021-02-21,2021,4,-0.25,-0.9
John Augenstein,The Genesis Invitational,2021-02-21,2021,2,-1.99,-2.44
Joel Dahmen,The Genesis Invitational,2021-02-21,2021,2,-2.09,-3.44
Jim Furyk,The Genesis Invitational,2021-02-21,2021,4,0,0.85
James Hahn,The Genesis Invitational,2021-02-21,2021,4,0.31,1.35
Jim Herman,The Genesis Invitational,2021-02-21,2021,2,-0.14,-1.94
J.B. Holmes,The Genesis Invitational,2021-02-21,2021,4,0.57,-0.4
Jason Kokrak,The Genesis Invitational,2021-02-21,2021,4,2.05,0.6
Joaquin Niemann,The Genesis Invitational,2021-02-21,2021,4,-0.35,0.1
J.T. Poston,The Genesis Invitational,2021-02-21,2021,4,0.21,0.1
Jon Rahm,The Genesis Invitational,2021-02-21,2021,4,-0.05,2.1
Jordan Spieth,The Genesis Invitational,2021-02-21,2021,4,1.02,1.35
Justin Thomas,The Genesis Invitational,2021-02-21,2021,2,-2.91,-3.94
Jimmy Walker,The Genesis Invitational,2021-02-21,2021,2,-0.51,-3.94
Keegan Bradley,The Genesis Invitational,2021-02-21,2021,4,-1.21,-0.65
Kyoung-Hoon Lee,The Genesis Invitational,2021-02-21,2021,4,-1.81,-1.9
Kevin Na,The Genesis Invitational,2021-02-21,2021,4,-0.43,0.35
Kyle Stanley,The Genesis Invitational,2021-02-21,2021,4,0.73,0.6
Kevin Streelman,The Genesis Invitational,2021-02-21,2021,4,-0.22,-0.15
Lucas Glover,The Genesis Invitational,2021-02-21,2021,2,-3.49,-2.44
Lanto Griffin,The Genesis Invitational,2021-02-21,2021,4,1.12,0.85
Luke List,The Genesis Invitational,2021-02-21,2021,2,0.02,-0.44
Matthew Fitzpatrick,The Genesis Invitational,2021-02-21,2021,4,0.62,2.1
Max Homa,The Genesis Invitational,2021-02-21,2021,4,1.15,3.35
Mark Hubbard,The Genesis Invitational,2021-02-21,2021,2,1.12,-0.44
Mackenzie Hughes,The Genesis Invitational,2021-02-21,2021,4,1.06,0.6
Matt Jones,The Genesis Invitational,2021-02-21,2021,4,1.63,1.85
Matt Kuchar,The Genesis Invitational,2021-02-21,2021,2,0.85,-0.44
Martin Laird,The Genesis Invitational,2021-02-21,2021,2,-0.8,-0.44
Marc Leishman,The Genesis Invitational,2021-02-21,2021,4,0.64,0.6
Maverick McNealy,The Genesis Invitational,2021-02-21,2021,2,1.22,-0.44
Matthew NeSmith,The Genesis Invitational,2021-02-21,2021,4,-0.09,1.1
Michael Thompson,The Genesis Invitational,2021-02-21,2021,2,-1.88,-2.44
Matthew Wolff,The Genesis Invitational,2021-02-21,2021,4,0.27,-1.15
Nate Lashley,The Genesis Invitational,2021-02-21,2021,4,-0.08,-0.4
Nick Taylor,The Genesis Invitational,2021-02-21,2021,4,1.1,1.1
Patrick Cantlay,The Genesis Invitational,2021-02-21,2021,4,-0.16,1.35
Padraig Harrington,The Genesis Invitational,2021-02-21,2021,2,-1.17,-4.44
Peter Malnati,The Genesis Invitational,2021-02-21,2021,2,-1.04,-1.94
Pat Perez,The Genesis Invitational,2021-02-21,2021,2,-0.55,-0.44
Patrick Rodgers,The Genesis Invitational,2021-02-21,2021,4,1.8,1.6
Ryan Armour,The Genesis Invitational,2021-02-21,2021,2,2.11,-0.44
Rickie Fowler,The Genesis Invitational,2021-02-21,2021,4,1.32,1.1
Russell Henley,The Genesis Invitational,2021-02-21,2021,4,0.12,0.35
Russell Knox,The Genesis Invitational,2021-02-21,2021,2,-0.83,-0.44
Rory McIlroy,The Genesis Invitational,2021-02-21,2021,2,-2.17,-3.44
Robby Shelton,The Genesis Invitational,2021-02-21,2021,2,-0.04,-1.94
Robert Streb,The Genesis Invitational,2021-02-21,2021,2,0.62,-1.94
Richy Werenski,The Genesis Invitational,2021-02-21,2021,4,-0.3,-0.4
Sam Burns,The Genesis Invitational,2021-02-21,2021,4,1.6,3.1
Stewart Cink,The Genesis Invitational,2021-02-21,2021,2,-0.83,-0.44
Sergio Garcia,The Genesis Invitational,2021-02-21,2021,2,-1.82,-0.44
Scott Harrington,The Genesis Invitational,2021-02-21,2021,4,-0.77,0.85
Sung Kang,The Genesis Invitational,2021-02-21,2021,4,-0.4,-2.15
Si Woo Kim,The Genesis Invitational,2021-02-21,2021,2,0.55,-2.94
Sebastian Munoz,The Genesis Invitational,2021-02-21,2021,4,0.95,0.1
Scott Piercy,The Genesis Invitational,2021-02-21,2021,4,-0.62,-1.15
Scottie Scheffler,The Genesis Invitational,2021-02-21,2021,4,-0.25,1.1
Sepp Straka,The Genesis Invitational,2021-02-21,2021,4,0.37,0.1
Tyler Duncan,The Genesis Invitational,2021-02-21,2021,4,-0.01,0.35
Tony Finau,The Genesis Invitational,2021-02-21,2021,4,0.76,3.35
Talor Gooch,The Genesis Invitational,2021-02-21,2021,4,0.68,1.6
Tom Hoge,The Genesis Invitational,2021-02-21,2021,4,-0.22,-0.15
Tyler McCumber,The Genesis Invitational,2021-02-21,2021,4,0.08,-0.15
Troy Merritt,The Genesis Invitational,2021-02-21,2021,2,-1.46,-0.44
Tyler Strafaci,The Genesis Invitational,2021-02-21,2021,1,-2.37,-6.79
Viktor Hovland,The Genesis Invitational,2021-02-21,2021,4,0.27,2.1
Vaughn Taylor,The Genesis Invitational,2021-02-21,2021,2,0.04,-0.94
Wesley Bryan,The Genesis Invitational,2021-02-21,2021,4,0.23,0.1
Wyndham Clark,The Genesis Invitational,2021-02-21,2021,4,1.02,1.85
Will Zalatoris,The Genesis Invitational,2021-02-21,2021,4,1.23,1.35
Xander Schauffele,The Genesis Invitational,2021-02-21,2021,4,0.29,1.35
Xinjun Zhang,The Genesis Invitational,2021-02-21,2021,2,-0.25,-3.44
Aaron Baddeley,AT&T Pebble Beach Pro-Am,2021-02-14,2021,2,0.73,-1.74
Akshay Bhatia,AT&T Pebble Beach Pro-Am,2021-02-14,2021,4,0.96,1.18
Austin Cook,AT&T Pebble Beach Pro-Am,2021-02-14,2021,2,-0.01,-0.74
Andrew Landry,AT&T Pebble Beach Pro-Am,2021-02-14,2021,2,-1.31,-3.74
Adam Long,AT&T Pebble Beach Pro-Am,2021-02-14,2021,2,0.04,0.26
Alexander Noren,AT&T Pebble Beach Pro-Am,2021-02-14,2021,2,-0.85,-3.74
Andy Ogletree,AT&T Pebble Beach Pro-Am,2021-02-14,2021,2,0.83,-2.74
Andrew Putnam,AT&T Pebble Beach Pro-Am,2021-02-14,2021,4,0.88,-0.16
Adam Schenk,AT&T Pebble Beach Pro-Am,2021-02-14,2021,2,2.77,-2.74
Bronson Burgoon,AT&T Pebble Beach Pro-Am,2021-02-14,2021,4,1.48,-0.82
Brice Garnett,AT&T Pebble Beach Pro-Am,2021-02-14,2021,2,0.11,-0.74
Brian Gay,AT&T Pebble Beach Pro-Am,2021-02-14,2021,4,0.44,0.51
Branden Grace,AT&T Pebble Beach Pro-Am,2021-02-14,2021,4,1.07,0.84
Bill Haas,AT&T Pebble Beach Pro-Am,2021-02-14,2021,2,-1.33,0.26
Brandon Hagy,AT&T Pebble Beach Pro-Am,2021-02-14,2021,2,0.04,3.26
Brian Harman,AT&T Pebble Beach Pro-Am,2021-02-14,2021,4,-0.71,0.84
Bo Hoag,AT&T Pebble Beach Pro-Am,2021-02-14,2021,2,-1.83,-0.74
Beau Hossler,AT&T Pebble Beach Pro-Am,2021-02-14,2021,4,0.44,-0.82
Ben Martin,AT&T Pebble Beach Pro-Am,2021-02-14,2021,2,1.21,0.26
Brandt Snedeker,AT&T Pebble Beach Pro-Am,2021-02-14,2021,2,0.62,-3.74
Brendan Steele,AT&T Pebble Beach Pro-Am,2021-02-14,2021,4,0.46,0.18
Brian Stuard,AT&T Pebble Beach Pro-Am,2021-02-14,2021,4,0.27,1.51
Ben Taylor,AT&T Pebble Beach Pro-Am,2021-02-14,2021,4,-1.21,-1.16
Bo Van Pelt,AT&T Pebble Beach Pro-Am,2021-02-14,2021,2,0.21,-3.74
Chris Baker,AT&T Pebble Beach Pro-Am,2021-02-14,2021,2,-2.01,-0.74
Cameron Davis,AT&T Pebble Beach Pro-Am,2021-02-14,2021,4,1.49,3.51
Chesson Hadley,AT&T Pebble Beach Pro-Am,2021-02-14,2021,2,0.83,2.26
Charley Hoffman,AT&T Pebble Beach Pro-Am,2021-02-14,2021,4,1.55,2.84
Chris Kirk,AT&T Pebble Beach Pro-Am,2021-02-14,2021,4,0.15,1.51
C.T. Pan,AT&T Pebble Beach Pro-Am,2021-02-14,2021,4,-2.03,-2.16
Cameron Percy,AT&T Pebble Beach Pro-Am,2021-02-14,2021,4,0,0.84
Chez Reavie,AT&T Pebble Beach Pro-Am,2021-02-14,2021,4,1.05,3.18
Chase Seiffert,AT&T Pebble Beach Pro-Am,2021-02-14,2021,2,-0.87,-3.74
Cameron Tringale,AT&T Pebble Beach Pro-Am,2021-02-14,2021,4,2.1,3.17
Daniel Berger,AT&T Pebble Beach Pro-Am,2021-02-14,2021,4,0.83,3.84
Dominic Bozzelli,AT&T Pebble Beach Pro-Am,2021-02-14,2021,2,-0.33,-7.74
Doug Ghim,AT&T Pebble Beach Pro-Am,2021-02-14,2021,4,0,1.51
David Hearn,AT&T Pebble Beach Pro-Am,2021-02-14,2021,2,-2.15,-1.74
Denny McCarthy,AT&T Pebble Beach Pro-Am,2021-02-14,2021,2,-0.91,0.26
D.A. Points,AT&T Pebble Beach Pro-Am,2021-02-14,2021,2,0.83,-1.74
Davis Riley,AT&T Pebble Beach Pro-Am,2021-02-14,2021,2,1.25,1.26
D.J. Trahan,AT&T Pebble Beach Pro-Am,2021-02-14,2021,2,-0.73,-2.74
Fabian Gomez,AT&T Pebble Beach Pro-Am,2021-02-14,2021,2,-0.42,2.26
Francesco Molinari,AT&T Pebble Beach Pro-Am,2021-02-14,2021,4,-0.07,-1.49
Greg Chalmers,AT&T Pebble Beach Pro-Am,2021-02-14,2021,2,-1.19,-1.74
Grayson Murray,AT&T Pebble Beach Pro-Am,2021-02-14,2021,2,-1.9,-2.74
Harry Higgs,AT&T Pebble Beach Pro-Am,2021-02-14,2021,2,-1,2.26
Hank Lebioda,AT&T Pebble Beach Pro-Am,2021-02-14,2021,4,1.4,0.18
Hunter Mahan,AT&T Pebble Beach Pro-Am,2021-02-14,2021,2,3.66,3.26
Henrik Norlander,AT&T Pebble Beach Pro-Am,2021-02-14,2021,4,-1.15,0.51
Harold Varner III,AT&T Pebble Beach Pro-Am,2021-02-14,2021,2,-0.24,1.26
Joseph Bramlett,AT&T Pebble Beach Pro-Am,2021-02-14,2021,4,-2.36,-2.49
Jonathan Byrd,AT&T Pebble Beach Pro-Am,2021-02-14,2021,2,-1.68,-3.74
Joel Dahmen,AT&T Pebble Beach Pro-Am,2021-02-14,2021,4,-0.12,-1.83
John Daly,AT&T Pebble Beach Pro-Am,2021-02-14,2021,2,-1.47,-4.74
Jason Day,AT&T Pebble Beach Pro-Am,2021-02-14,2021,4,1.09,2.17
Jason Dufner,AT&T Pebble Beach Pro-Am,2021-02-14,2021,4,0.77,0.84
Jim Furyk,AT&T Pebble Beach Pro-Am,2021-02-14,2021,4,0.06,1.84
James Hahn,AT&T Pebble Beach Pro-Am,2021-02-14,2021,2,0.33,-3.74
Jim Herman,AT&T Pebble Beach Pro-Am,2021-02-14,2021,2,0.97,2.26
J.B. Holmes,AT&T Pebble Beach Pro-Am,2021-02-14,2021,2,-0.81,-0.74
Jim Knous,AT&T Pebble Beach Pro-Am,2021-02-14,2021,2,0.71,-5.74
Ted Potter Jr.,AT&T Pebble Beach Pro-Am,2021-02-14,2021,2,0.18,1.26
John Senden,AT&T Pebble Beach Pro-Am,2021-02-14,2021,4,0.19,-0.82
J.J. Spaun,AT&T Pebble Beach Pro-Am,2021-02-14,2021,2,-3.71,-3.74
Jordan Spieth,AT&T Pebble Beach Pro-Am,2021-02-14,2021,4,0.06,2.18
Josh Teater,AT&T Pebble Beach Pro-Am,2021-02-14,2021,4,-0.52,0.18
Jhonattan Vegas,AT&T Pebble Beach Pro-Am,2021-02-14,2021,4,-1.27,-0.82
Johnson Wagner,AT&T Pebble Beach Pro-Am,2021-02-14,2021,2,0.69,2.26
Jimmy Walker,AT&T Pebble Beach Pro-Am,2021-02-14,2021,2,0.33,1.26
Kiradech Aphibarnrat,AT&T Pebble Beach Pro-Am,2021-02-14,2021,2,-1.4,-2.74
Kevin Chappell,AT&T Pebble Beach Pro-Am,2021-02-14,2021,2,2.39,-0.74
K.J. Choi,AT&T Pebble Beach Pro-Am,2021-02-14,2021,2,-2.56,-2.74
Kramer Hickok,AT&T Pebble Beach Pro-Am,2021-02-14,2021,2,-4.94,-4.74
Kamaiu Johnson,AT&T Pebble Beach Pro-Am,2021-02-14,2021,2,-4.75,-4.74
Kelly Kraft,AT&T Pebble Beach Pro-Am,2021-02-14,2021,2,-3.56,-2.74
Keith Mitchell,AT&T Pebble Beach Pro-Am,2021-02-14,2021,2,0.95,-3.74
Kevin Stadler,AT&T Pebble Beach Pro-Am,2021-02-14,2021,2,0.54,-0.74
Kyle Stanley,AT&T Pebble Beach Pro-Am,2021-02-14,2021,4,-1.14,-0.49
Kevin Streelman,AT&T Pebble Beach Pro-Am,2021-02-14,2021,4,0.55,2.18
Kristoffer Ventura,AT&T Pebble Beach Pro-Am,2021-02-14,2021,2,-1.32,-3.74
Luke Donald,AT&T Pebble Beach Pro-Am,2021-02-14,2021,2,-0.07,-3.74
Mark Anderson,AT&T Pebble Beach Pro-Am,2021-02-14,2021,2,1.52,1.26
Michael Gellerman,AT&T Pebble Beach Pro-Am,2021-02-14,2021,2,-0.39,-2.74
Michael Gligic,AT&T Pebble Beach Pro-Am,2021-02-14,2021,2,0.19,-4.74
Max Homa,AT&T Pebble Beach Pro-Am,2021-02-14,2021,4,1.3,2.84
Mark Hubbard,AT&T Pebble Beach Pro-Am,2021-02-14,2021,4,0.71,-0.16
Matt Jones,AT&T Pebble Beach Pro-Am,2021-02-14,2021,4,0.63,0.51
Michael Kim,AT&T Pebble Beach Pro-Am,2021-02-14,2021,2,-1.26,-0.74
Min Woo Lee,AT&T Pebble Beach Pro-Am,2021-02-14,2021,2,-1.24,-5.74
Maverick McNealy,AT&T Pebble Beach Pro-Am,2021-02-14,2021,4,0.4,3.18
Matthew NeSmith,AT&T Pebble Beach Pro-Am,2021-02-14,2021,4,0.41,3.18
Michael Thompson,AT&T Pebble Beach Pro-Am,2021-02-14,2021,4,-0.21,1.18
Martin Trainer,AT&T Pebble Beach Pro-Am,2021-02-14,2021,2,-0.25,-0.74
Nate Lashley,AT&T Pebble Beach Pro-Am,2021-02-14,2021,4,1.44,3.51
Nelson Ledesma,AT&T Pebble Beach Pro-Am,2021-02-14,2021,2,-0.76,-0.74
Nick Taylor,AT&T Pebble Beach Pro-Am,2021-02-14,2021,4,-1.38,-0.16
Nick Watney,AT&T Pebble Beach Pro-Am,2021-02-14,2021,2,-1.22,-3.74
Patrick Cantlay,AT&T Pebble Beach Pro-Am,2021-02-14,2021,4,0.95,4.18
Paul Casey,AT&T Pebble Beach Pro-Am,2021-02-14,2021,4,1.3,2.84
Patton Kizzire,AT&T Pebble Beach Pro-Am,2021-02-14,2021,4,-0.97,-0.49
Peter Malnati,AT&T Pebble Beach Pro-Am,2021-02-14,2021,2,-0.14,0.26
Phil Mickelson,AT&T Pebble Beach Pro-Am,2021-02-14,2021,2,-1.78,-7.74
Pat Perez,AT&T Pebble Beach Pro-Am,2021-02-14,2021,4,0.6,1.18
Patrick Rodgers,AT&T Pebble Beach Pro-Am,2021-02-14,2021,2,0.06,0.26
Peter Uihlein,AT&T Pebble Beach Pro-Am,2021-02-14,2021,4,0.6,-1.82
Ryan Armour,AT&T Pebble Beach Pro-Am,2021-02-14,2021,4,-0.32,-0.16
Ricky Barnes,AT&T Pebble Beach Pro-Am,2021-02-14,2021,2,-2.23,-4.74
Ryan Blaum,AT&T Pebble Beach Pro-Am,2021-02-14,2021,2,0.89,1.26
Ryan Brehm,AT&T Pebble Beach Pro-Am,2021-02-14,2021,2,3.04,0.26
Rafa Cabrera Bello,AT&T Pebble Beach Pro-Am,2021-02-14,2021,2,-1.47,-2.74
Rafael Campos,AT&T Pebble Beach Pro-Am,2021-02-14,2021,2,2.32,0.26
Roberto Castro,AT&T Pebble Beach Pro-Am,2021-02-14,2021,2,-0.21,-0.74
Rickie Fowler,AT&T Pebble Beach Pro-Am,2021-02-14,2021,2,-0.76,-1.74
Rhein Gibson,AT&T Pebble Beach Pro-Am,2021-02-14,2021,2,-1.74,-5.74
Russell Knox,AT&T Pebble Beach Pro-Am,2021-02-14,2021,4,0.73,2.51
Ryan Moore,AT&T Pebble Beach Pro-Am,2021-02-14,2021,4,-0.34,1.51
Rob Oppenheim,AT&T Pebble Beach Pro-Am,2021-02-14,2021,4,0.57,0.84
